id,lon,lat,classification,,custom_site_id
1,83.31382,29.46117,RCC_H2 gable roof,,wh1zh8zx
2,83.31382,29.23617,RCC_H2 gable roof,,wh1zhc4p
3,83.53882,29.08617,RCC_H2 gable roof,,wh1zhvfb
4,80.68882,28.93617,RCC_H2 gable roof,,wh1zhu59
5,83.53882,29.01117,RCC_H2 gable roof,,wh1zhc5f
6,81.13882,28.78617,RCC_H2 gable roof,,wh1zhghs
7,83.98882,28.48617,RCC_H1 flat roof,,wh1zhcky
8,83.23882,29.38617,RCC_H1 flat roof,,wh1zhfjj
9,83.01382,29.08617,RCC_H1 flat roof,,wh1zhfv4
10,83.31382,28.71117,RCC_H1 flat roof,,wh1zhcvk
11,86.91382,27.73617,RCC_H1 flat roof,,wh1zhcw1
12,83.16382,29.31117,RCC_H1 flat roof,,wh1zhfnm
13,80.61382,28.93617,RCC_H1 flat roof,,wh1zhgn7
14,83.91382,29.01117,RCC_H1 flat roof,,wh1zhgp1
15,82.03882,30.28617,RCC_H1 flat roof,,wh1zhcp5
16,83.38882,29.31117,RCC_H1 flat roof,,wh1zhgp3
17,80.68882,28.86117,RCC_H3 flat roof,,wh1zhgp9
18,83.46382,28.71117,RCC_H3 flat roof,,wh1zhgpe
19,84.13882,28.41117,RCC_H3 flat roof,,wh1zhcrz
20,83.08882,29.16117,RCC_H3 flat roof,,wh1zj50u
21,84.13882,28.78617,RCC_H3 flat roof,,wh1zj4c1
22,85.11382,28.33617,RCC_H3 flat roof,,wh1zj4ch
23,84.06382,29.01117,RCC_H3 flat roof,,wh1zj4cp
24,83.01382,29.61117,RCC_H3 flat roof,,wh1zj4cc
25,86.83882,27.73617,RCC_H3 flat roof,,wh1zj49y
26,84.36382,28.78617,RCC_H3 flat roof,,wh1zj4fz
27,84.13882,28.56117,MR_H1 flat roof,,wh1zj54c
28,83.16382,29.01117,MR_H1 flat roof,,wh1zj55e
29,83.01382,29.23617,MR_H1 flat roof,,wh1zj5hs
30,82.86382,28.86117,MR_H1 flat roof,,wh1zj4uy
31,85.03882,28.56117,MR_H1 flat roof,,wh1zj5hc
32,83.31382,28.78617,MR_H1 flat roof,,wh1zj5jc
33,81.88882,28.18617,MR_H1 flat roof,,wh1zj4yp
34,83.23882,29.31117,MR_H2 gable roof,,wh1zj5n3
35,84.13882,29.16117,MR_H2 gable roof,,wh1zj5ng
