ID,BEiT Class,Archetype,Lat,Lon,PGA μ(g),PGA σ(g),P(None),P(DS1) μ,P(DS1) σ,P(DS2) μ,P(DS2) σ,P(DS3) μ,P(DS3) σ,P(DS4) μ,P(DS4) σ,Mean DS,Loss Ratio
1,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.46117,83.31382,0.093,0.0654,0.947,0.052,0.09,0.001,0.003,0.0,0.0,0.0,0.0,None,0.003
2,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.23617,83.31382,0.0933,0.0772,0.948,0.051,0.097,0.001,0.01,0.0,0.002,0.0,0.001,None,0.003
3,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.08617,83.53882,0.0946,0.074,0.944,0.055,0.104,0.001,0.006,0.0,0.001,0.0,0.0,None,0.003
4,RCC_H2 gable roof,CR_LFINF_DUL_H2,28.93617,80.68882,0.0954,0.0761,0.941,0.058,0.108,0.001,0.006,0.0,0.001,0.0,0.0,None,0.003
5,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.01117,83.53882,0.0934,0.0679,0.947,0.052,0.095,0.001,0.004,0.0,0.001,0.0,0.0,None,0.003
6,RCC_H2 gable roof,CR_LFINF_DUL_H2,28.78617,81.13882,0.0954,0.0802,0.941,0.057,0.114,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
7,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.48617,83.98882,0.0962,0.0725,0.982,0.016,0.061,0.002,0.01,0.0,0.003,0.0,0.002,None,0.002
8,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.38617,83.23882,0.0927,0.0688,0.985,0.014,0.053,0.001,0.007,0.0,0.002,0.0,0.001,None,0.001
9,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.08617,83.01382,0.0924,0.0722,0.983,0.015,0.057,0.001,0.008,0.0,0.002,0.0,0.002,None,0.001
10,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,83.31382,0.089,0.0662,0.987,0.012,0.049,0.001,0.006,0.0,0.001,0.0,0.001,None,0.001
11,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.73617,86.91382,0.0957,0.0755,0.982,0.015,0.058,0.002,0.013,0.0,0.005,0.0,0.005,None,0.002
12,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.16382,0.09,0.0648,0.988,0.011,0.046,0.001,0.008,0.0,0.003,0.0,0.003,None,0.001
13,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.93617,80.61382,0.0931,0.0781,0.981,0.017,0.063,0.002,0.013,0.001,0.005,0.0,0.006,None,0.002
14,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.91382,0.0974,0.0752,0.981,0.017,0.062,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
15,RCC_H1 flat roof,CR_LFINF_DUL_H1,30.28617,82.03882,0.0985,0.0763,0.98,0.018,0.059,0.002,0.01,0.0,0.003,0.0,0.003,None,0.002
16,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.38882,0.0871,0.0587,0.991,0.009,0.034,0.0,0.003,0.0,0.001,0.0,0.0,None,0.001
17,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.86117,80.68882,0.0968,0.0793,0.955,0.043,0.093,0.001,0.007,0.0,0.002,0.0,0.001,None,0.003
18,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.71117,83.46382,0.0871,0.0679,0.966,0.033,0.077,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
19,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,84.13882,0.0952,0.0727,0.96,0.039,0.08,0.001,0.007,0.0,0.002,0.0,0.001,None,0.002
